"date","metric","submetric","value","display"
2023-09-09,"COVID-19 cases","Total","9464","Number"
2023-09-16,"COVID-19 cases","Total","9603","Number"
2023-09-23,"COVID-19 cases","Total","10415","Number"
2023-09-30,"COVID-19 cases","Total","8603","Number"
2023-10-07,"COVID-19 cases","Total","7010","Number"
2023-10-14,"COVID-19 cases","Total","5136","Number"
2023-10-21,"COVID-19 cases","Total","4649","Number"
2023-10-28,"COVID-19 cases","Total","4123","Number"
2023-11-04,"COVID-19 cases","Total","3351","Number"
2023-11-11,"COVID-19 cases","Total","3789","Number"
2023-11-18,"COVID-19 cases","Total","4406","Number"
2023-11-25,"COVID-19 cases","Total","4825","Number"
2023-12-02,"COVID-19 cases","Total","6508","Number"
2023-12-09,"COVID-19 cases","Total","7330","Number"
2023-12-16,"COVID-19 cases","Total","10327","Number"
2023-12-23,"COVID-19 cases","Total","14023","Number"
2023-12-30,"COVID-19 cases","Total","16496","Number"
2024-01-06,"COVID-19 cases","Total","17056","Number"
2024-01-13,"COVID-19 cases","Total","15257","Number"
2024-01-20,"COVID-19 cases","Total","10727","Number"
2024-01-27,"COVID-19 cases","Total","9700","Number"
2024-02-03,"COVID-19 cases","Total","7539","Number"
2024-02-10,"COVID-19 cases","Total","6104","Number"
2024-02-17,"COVID-19 cases","Total","4576","Number"
2024-02-24,"COVID-19 cases","Total","3453","Number"
2024-03-02,"COVID-19 cases","Total","2951","Number"
2024-03-09,"COVID-19 cases","Total","2204","Number"
2024-03-16,"COVID-19 cases","Total","1796","Number"
2024-03-23,"COVID-19 cases","Total","1752","Number"
2024-03-30,"COVID-19 cases","Total","1539","Number"
2024-04-06,"COVID-19 cases","Total","1432","Number"
2024-04-13,"COVID-19 cases","Total","1413","Number"
2024-04-20,"COVID-19 cases","Total","1406","Number"
2024-04-27,"COVID-19 cases","Total","1350","Number"
2024-05-04,"COVID-19 cases","Total","1576","Number"
2024-05-11,"COVID-19 cases","Total","1765","Number"
2024-05-18,"COVID-19 cases","Total","2486","Number"
2024-05-25,"COVID-19 cases","Total","2736","Number"
2024-06-01,"COVID-19 cases","Total","2939","Number"
2024-06-08,"COVID-19 cases","Total","3631","Number"
2024-06-15,"COVID-19 cases","Total","4186","Number"
2024-06-22,"COVID-19 cases","Total","4869","Number"
2024-06-29,"COVID-19 cases","Total","5328","Number"
2024-07-06,"COVID-19 cases","Total","5603","Number"
2024-07-13,"COVID-19 cases","Total","6488","Number"
2024-07-20,"COVID-19 cases","Total","7046","Number"
2024-07-27,"COVID-19 cases","Total","7550","Number"
2024-08-03,"COVID-19 cases","Total","6860","Number"
2024-08-10,"COVID-19 cases","Total","5419","Number"
2024-08-17,"COVID-19 cases","Total","5465","Number"
2024-08-24,"COVID-19 cases","Total","4692","Number"
2024-08-31,"COVID-19 cases","Total","4169","Number"
2024-09-07,"COVID-19 cases","Total","3581","Number"
2024-09-14,"COVID-19 cases","Total","3767","Number"
2024-09-21,"COVID-19 cases","Total","3424","Number"
2024-09-28,"COVID-19 cases","Total","2674","Number"
2024-10-05,"COVID-19 cases","Total","1770","Number"
2024-10-12,"COVID-19 cases","Total","1420","Number"
2024-10-19,"COVID-19 cases","Total","1204","Number"
2024-10-26,"COVID-19 cases","Total","1217","Number"
2024-11-02,"COVID-19 cases","Total","1241","Number"
2024-11-09,"COVID-19 cases","Total","940","Number"
2024-11-16,"COVID-19 cases","Total","915","Number"
2024-11-23,"COVID-19 cases","Total","1015","Number"
2024-11-30,"COVID-19 cases","Total","1011","Number"
2024-12-07,"COVID-19 cases","Total","1464","Number"
2024-12-14,"COVID-19 cases","Total","1589","Number"
2024-12-21,"COVID-19 cases","Total","2009","Number"
2024-12-28,"COVID-19 cases","Total","1907","Number"
2025-01-04,"COVID-19 cases","Total","2559","Number"
2025-01-11,"COVID-19 cases","Total","2620","Number"
2025-01-18,"COVID-19 cases","Total","2881","Number"
