"date","metric","submetric","display","value"
2025-08-23,"SARS-CoV-2 viral load","Citywide average","Number","29883635"
2025-08-30,"SARS-CoV-2 viral load","Citywide average","Number","28758670"
2025-09-06,"SARS-CoV-2 viral load","Citywide average","Number","27740006"
2025-09-13,"SARS-CoV-2 viral load","Citywide average","Number","41107050"
2025-09-20,"SARS-CoV-2 viral load","Citywide average","Number","29046411"
2025-09-27,"SARS-CoV-2 viral load","Citywide average","Number","31806949"
2025-10-04,"SARS-CoV-2 viral load","Citywide average","Number","23673579"
2025-10-11,"SARS-CoV-2 viral load","Citywide average","Number","14960383"
2025-10-18,"SARS-CoV-2 viral load","Citywide average","Number","20276110"
2025-10-25,"SARS-CoV-2 viral load","Citywide average","Number","8375029"
2025-11-01,"SARS-CoV-2 viral load","Citywide average","Number","6785698"
2025-11-08,"SARS-CoV-2 viral load","Citywide average","Number","4204285"
2025-11-15,"SARS-CoV-2 viral load","Citywide average","Number","3899146"
2025-11-22,"SARS-CoV-2 viral load","Citywide average","Number","8903158"
2025-11-29,"SARS-CoV-2 viral load","Citywide average","Number","4657496"
2025-12-06,"SARS-CoV-2 viral load","Citywide average","Number","4351832"
2025-12-13,"SARS-CoV-2 viral load","Citywide average","Number","4743288"
2025-12-20,"SARS-CoV-2 viral load","Citywide average","Number","5501484"
2025-12-27,"SARS-CoV-2 viral load","Citywide average","Number","7553885"
2026-01-03,"SARS-CoV-2 viral load","Citywide average","Number","4509341"
2026-01-10,"SARS-CoV-2 viral load","Citywide average","Number","5942780"
2026-01-17,"SARS-CoV-2 viral load","Citywide average","Number","11782505"
2026-01-24,"SARS-CoV-2 viral load","Citywide average","Number","6095745"
2026-01-31,"SARS-CoV-2 viral load","Citywide average","Number","7426776"
2026-02-07,"SARS-CoV-2 viral load","Citywide average","Number","5778145"
2026-02-14,"SARS-CoV-2 viral load","Citywide average","Number","8749356"
2026-02-21,"SARS-CoV-2 viral load","Citywide average","Number","9249389"
2026-02-28,"SARS-CoV-2 viral load","Citywide average","Number","10671950"
2026-03-07,"SARS-CoV-2 viral load","Citywide average","Number","8744360"
2026-03-14,"SARS-CoV-2 viral load","Citywide average","Number","8083405"
2026-03-21,"SARS-CoV-2 viral load","Citywide average","Number","14368543"
2026-03-28,"SARS-CoV-2 viral load","Citywide average","Number","6903853"
2026-04-04,"SARS-CoV-2 viral load","Citywide average","Number","7978443"
2026-04-11,"SARS-CoV-2 viral load","Citywide average","Number","7486073"
2026-04-18,"SARS-CoV-2 viral load","Citywide average","Number","7200454"
2026-04-25,"SARS-CoV-2 viral load","Citywide average","Number","4658205"
2026-05-02,"SARS-CoV-2 viral load","Citywide average","Number","3787387"
2026-05-09,"SARS-CoV-2 viral load","Citywide average","Number","6275892"
2026-05-16,"SARS-CoV-2 viral load","Citywide average","Number","4343609"
2026-05-23,"SARS-CoV-2 viral load","Citywide average","Number","3488437"
2026-05-30,"SARS-CoV-2 viral load","Citywide average","Number","3839839"
2026-06-06,"SARS-CoV-2 viral load","Citywide average","Number","7811183"
2026-06-13,"SARS-CoV-2 viral load","Citywide average","Number","3697636"
2026-06-20,"SARS-CoV-2 viral load","Citywide average","Number","5173215"
2026-06-27,"SARS-CoV-2 viral load","Citywide average","Number","2535964"
2026-07-04,"SARS-CoV-2 viral load","Citywide average","Number","3244639"
2026-07-11,"SARS-CoV-2 viral load","Citywide average","Number",""
2026-07-18,"SARS-CoV-2 viral load","Citywide average","Number","5074122"
2026-07-25,"SARS-CoV-2 viral load","Citywide average","Number","9390317"
2026-08-01,"SARS-CoV-2 viral load","Citywide average","Number","10337061"
2026-08-08,"SARS-CoV-2 viral load","Citywide average","Number","6898799"
2026-08-15,"SARS-CoV-2 viral load","Citywide average","Number","15656140"
2025-08-23,"Flu A viral load","Citywide average","Number","1566006"
2025-08-30,"Flu A viral load","Citywide average","Number","< LOD"
2025-09-06,"Flu A viral load","Citywide average","Number","< LOD"
2025-09-13,"Flu A viral load","Citywide average","Number","1035172"
2025-09-20,"Flu A viral load","Citywide average","Number","< LOD"
2025-09-27,"Flu A viral load","Citywide average","Number","< LOD"
2025-10-04,"Flu A viral load","Citywide average","Number","1446991"
2025-10-11,"Flu A viral load","Citywide average","Number","1065656"
2025-10-18,"Flu A viral load","Citywide average","Number","< LOD"
2025-10-25,"Flu A viral load","Citywide average","Number","1521415"
2025-11-01,"Flu A viral load","Citywide average","Number","840572"
2025-11-08,"Flu A viral load","Citywide average","Number","1088318"
2025-11-15,"Flu A viral load","Citywide average","Number","1263930"
2025-11-22,"Flu A viral load","Citywide average","Number","3486676"
2025-11-29,"Flu A viral load","Citywide average","Number","4555061"
2025-12-06,"Flu A viral load","Citywide average","Number","5565322"
2025-12-13,"Flu A viral load","Citywide average","Number","6987103"
2025-12-20,"Flu A viral load","Citywide average","Number","18511495"
2025-12-27,"Flu A viral load","Citywide average","Number","14581694"
2026-01-03,"Flu A viral load","Citywide average","Number","10577791"
2026-01-10,"Flu A viral load","Citywide average","Number","3291194"
2026-01-17,"Flu A viral load","Citywide average","Number","6312545"
2026-01-24,"Flu A viral load","Citywide average","Number","2195804"
2026-01-31,"Flu A viral load","Citywide average","Number","2427919"
2026-02-07,"Flu A viral load","Citywide average","Number","2436198"
2026-02-14,"Flu A viral load","Citywide average","Number","2752658"
2026-02-21,"Flu A viral load","Citywide average","Number","3283899"
2026-02-28,"Flu A viral load","Citywide average","Number","7643400"
2026-03-07,"Flu A viral load","Citywide average","Number","3777395"
2026-03-14,"Flu A viral load","Citywide average","Number","2244235"
2026-03-21,"Flu A viral load","Citywide average","Number","6452785"
2026-03-28,"Flu A viral load","Citywide average","Number","7923526"
2026-04-04,"Flu A viral load","Citywide average","Number","4451011"
2026-04-11,"Flu A viral load","Citywide average","Number","5303520"
2026-04-18,"Flu A viral load","Citywide average","Number","1241009"
2026-04-25,"Flu A viral load","Citywide average","Number","745956"
2026-05-02,"Flu A viral load","Citywide average","Number","2044066"
2026-05-09,"Flu A viral load","Citywide average","Number","1953832"
2026-05-16,"Flu A viral load","Citywide average","Number","542434"
2026-05-23,"Flu A viral load","Citywide average","Number","2912968"
2026-05-30,"Flu A viral load","Citywide average","Number","< LOD"
2026-06-06,"Flu A viral load","Citywide average","Number","< LOD"
2026-06-13,"Flu A viral load","Citywide average","Number","< LOD"
2026-06-20,"Flu A viral load","Citywide average","Number","< LOD"
2026-06-27,"Flu A viral load","Citywide average","Number","< LOD"
2026-07-04,"Flu A viral load","Citywide average","Number","< LOD"
2026-07-11,"Flu A viral load","Citywide average","Number",""
2026-07-18,"Flu A viral load","Citywide average","Number","< LOD"
2026-07-25,"Flu A viral load","Citywide average","Number","< LOD"
2026-08-01,"Flu A viral load","Citywide average","Number","2654154"
2026-08-08,"Flu A viral load","Citywide average","Number","< LOD"
2026-08-15,"Flu A viral load","Citywide average","Number","< LOD"
2025-08-23,"Flu B viral load","Citywide average","Number","< LOD"
2025-08-30,"Flu B viral load","Citywide average","Number","< LOD"
2025-09-06,"Flu B viral load","Citywide average","Number","< LOD"
2025-09-13,"Flu B viral load","Citywide average","Number","< LOD"
2025-09-20,"Flu B viral load","Citywide average","Number","< LOD"
2025-09-27,"Flu B viral load","Citywide average","Number","< LOD"
2025-10-04,"Flu B viral load","Citywide average","Number","< LOD"
2025-10-11,"Flu B viral load","Citywide average","Number","< LOD"
2025-10-18,"Flu B viral load","Citywide average","Number","< LOD"
2025-10-25,"Flu B viral load","Citywide average","Number","< LOD"
2025-11-01,"Flu B viral load","Citywide average","Number","< LOD"
2025-11-08,"Flu B viral load","Citywide average","Number","< LOD"
2025-11-15,"Flu B viral load","Citywide average","Number","< LOD"
2025-11-22,"Flu B viral load","Citywide average","Number","< LOD"
2025-11-29,"Flu B viral load","Citywide average","Number","1569193"
2025-12-06,"Flu B viral load","Citywide average","Number",""
2025-12-13,"Flu B viral load","Citywide average","Number","< LOD"
2025-12-20,"Flu B viral load","Citywide average","Number","1564714"
2025-12-27,"Flu B viral load","Citywide average","Number","< LOD"
2026-01-03,"Flu B viral load","Citywide average","Number","3957167"
2026-01-10,"Flu B viral load","Citywide average","Number","< LOD"
2026-01-17,"Flu B viral load","Citywide average","Number","725964"
2026-01-24,"Flu B viral load","Citywide average","Number","< LOD"
2026-01-31,"Flu B viral load","Citywide average","Number","900770"
2026-02-07,"Flu B viral load","Citywide average","Number","1330530"
2026-02-14,"Flu B viral load","Citywide average","Number","1051262"
2026-02-21,"Flu B viral load","Citywide average","Number","2107270"
2026-02-28,"Flu B viral load","Citywide average","Number","2455161"
2026-03-07,"Flu B viral load","Citywide average","Number","1460767"
2026-03-14,"Flu B viral load","Citywide average","Number","1921703"
2026-03-21,"Flu B viral load","Citywide average","Number","3275936"
2026-03-28,"Flu B viral load","Citywide average","Number","2182539"
2026-04-04,"Flu B viral load","Citywide average","Number","1614435"
2026-04-11,"Flu B viral load","Citywide average","Number","1854130"
2026-04-18,"Flu B viral load","Citywide average","Number","5434465"
2026-04-25,"Flu B viral load","Citywide average","Number","1118489"
2026-05-02,"Flu B viral load","Citywide average","Number","1317609"
2026-05-09,"Flu B viral load","Citywide average","Number","1064870"
2026-05-16,"Flu B viral load","Citywide average","Number","853226"
2026-05-23,"Flu B viral load","Citywide average","Number","1290111"
2026-05-30,"Flu B viral load","Citywide average","Number","< LOD"
2026-06-06,"Flu B viral load","Citywide average","Number","627357"
2026-06-13,"Flu B viral load","Citywide average","Number","697913"
2026-06-20,"Flu B viral load","Citywide average","Number","2056547"
2026-06-27,"Flu B viral load","Citywide average","Number","< LOD"
2026-07-04,"Flu B viral load","Citywide average","Number","< LOD"
2026-07-11,"Flu B viral load","Citywide average","Number",""
